Fonte;ID/Pasta;Código/Nome;Duração;Tipo de áudio;Imagem;Áudio;Data;Op. VT;Marcelo;Observações
CLIP2;VTs e Vídeos\VTs de Produtos;iPhone 11 (2);"00:00:58;00";BGM;OK;OK;24/11/2022;Jesus;Marcelo Maurity;
CLIP1;55770;EV-LOGOBLACKFRIDAYPRO_CP01;"00:00:10;00";Sem áudio;OK;N/A;26/11/2022;Jesus;Marcelo;
CLIP1;55771;EV-BLACKFRIDAYPRO_CP01;"00:00:10;00";Sem áudio;OK;N/A;26/11/2022;Jesus;Marcelo;
CLIP2;Vídeos de Programas\Shop Game Time Show\Jogos\30.11.2022 Shop Game Time Show;Carneiro_Toalha;"00:00:27;00";BGM;OK;OK;30/11/2022;Jesus;Gabriel;
CLIP1;55806;VH-MELHORESMESCAMP_CP01;"00:00:15;00";BGM;OK;OK;01/12/2022;Jesus;Marcelo;
CLIP1;55810;EV-KDACOMUNIKMDKSA_CP01;"00:00:10;00";Sem áudio;OK;N/A;01/12/2022;Jesus;Marcelo;
CLIP1;55817;VH-ASSIMEFACIL_CP01;"00:00:10;00";BGM;OK;OK;01/12/2022;Jesus;Marcelo;
CLIP2;Vídeos de Programas\Papo a Gosto\01.12.2022 Papo a Gosto;BOÊMIOS_CESÁRIA ÉVORA;"00:01:52;00";Voz e BGM;OK;OK;01/12/2022;Jesus;Marcelo;
CLIP1;55821;VT-JOGAUNIVERSOAR-CP01;"00:05:04;00";Voz e BGM;OK;OK;02/12/2022;Jesus;André;
CLIP1;55822;VT-JOGAUNIVERSOFOGO-CP01;"00:04:35;00";Voz e BGM;OK;OK;02/12/2022;Jesus;André;
CLIP1;55823;VT-JOGAUNIVERSOAGUA-CP01;"00:04:36;00";Voz e BGM;OK;OK;02/12/2022;Jesus;André;
CLIP1;55818;VT-JOGAUNIVERSOTERRA-CP01;"00:04:16;00";Voz e BGM;OK;OK;02/12/2022;Jesus;André;
CLIP1;55893;EV-KDACOMEUNIKFEUD_CP01;"00:00:10;00";Sem áudio;OK;N/A;08/12/2022;Jesus;André;
CLIP1;55904;VH-MELHORESANOCAMP22_CP01;"00:00:15;00";BGM;OK;OK;09/12/2022;Jesus;André;
CLIP1;55905;EV-KDACOMEUNIKFMP_CP01;"00:00:10;00";Sem áudio;OK;N/A;09/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Especial de Natal\2022\08.12.2022\Switcher-Compilado de Natal;Switcher-Compilado Natal;"00:09:56;00";BGM;OK;OK;09/12/2022;Jesus;André;
CLIP1;55926;VT-PANELAELETRCAFK_CP01;"00:01:40;00";BGM;OK;OK;13/12/2022;Jesus;Gabriel;
CLIP1;55929;VH-BUENASNOTICIAS_CP01;"00:00:05;00";BGM;OK;OK;13/12/2022;Jesus;Gabriel;
CLIP2;Vídeos de Programas\Papo a Gosto\15.12.2022 Papo a Gosto;BOÊMIOS_LAPONIA;"00:01:34;00";Voz e BGM;OK;OK;14/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Papo a Gosto\16.12.2022 Papo a Gosto;BOÊMIOS_ELIZABETH;"00:01:34;00";Voz e BGM;OK;OK;16/12/2022;Jesus;André;
CLIP1;56002;VH-INVADINDOLOJABABI_CP01;"00:00:07;00";BGM;OK;OK;19/12/2022;Jesus;Marcelo;
CLIP1;56027;VH-MINHARVOREDENATAL_CP01;"00:00:06;00";BGM;OK;OK;20/12/2022;Jesus;Gabriel;
CLIP2;Vídeos de Programas\Tudo para sua Casa\21.12.2022 Tudo para a sua Casa;Rei Leão_Trecho Tininha;"00:00:46;00";Voz e BGM;OK;OK;22/12/2022;Jesus;Gabriel;
CLIP2;Vídeos de Programas\Família Shoptime\22.12.2022 Família Shoptime;Tota e Pita - Plantas;"00:02:48;00";Voz e BGM;OK;OK;22/12/2022;Jesus;Gabriel;
CLIP2;Vídeos de Programas\Família Shoptime\26.12.2022 Família Shoptime;Tota e Pita - Tota comprou uma casa;"00:04:00;00";Voz e BGM;OK;OK;26/12/2022;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Panela de Pressão Rochedo Clipso 4,5 litros_ Abre e fecha fácil com máxima segurança;"00:01:30;00";Voz e BGM;OK;OK;26/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Vida Revista\26.12.2022 Vida Revista;Agora Vai - Flavia Bonatto;"00:00:48;00";Voz;OK;OK;26/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Vida Revista\26.12.2022 Vida Revista;Agora Vai - Fabiana Boal;"00:00:46;00";Voz;OK;OK;26/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Vida Revista\26.12.2022 Vida Revista;Agora Vai - Davi & Andre;"00:02:08;00";Voz;OK;OK;26/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Vida Revista\26.12.2022 Vida Revista;Agora Vai - Andrea Bueno;"00:00:44;00";Voz;OK;OK;26/12/2022;Jesus;André;
CLIP2;56081;EV-VEM2023UDECMERC_CP01;"00:00:10;00";Sem áudio;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56082;VH-RETROSPECTIVACASA22_CP01;"00:00:15;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56083;VH-CASAPRISAPORETTI_CP01;"00:00:10;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56084;VH-CASASEGSAPORETTI_CP01;"00:00:10;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56085;VH-CASATERSAPORETTI_CP01;"00:00:10;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56087;VH-CASAQUISAPORETTI_CP01;"00:00:10;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;Não ingestado. Aguardando.
CLIP1;56088;VH-CASASEXSAPORETTI_CP01;"00:00:10;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56089;VH-CASASETSAPORETTI_CP01;"00:00:10;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56090;VH-CASAOITSAPORETTI_CP01;"00:00:10;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56091;VH-CASANONSAPORETTI_CP01;"00:00:10;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56092;VH-CASADECSAPORETTI_CP01;"00:00:10;00";BGM;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56107;VT-FENGSHUISALA_CP01;"00:00:45;00";Voz;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56108;VT-FENGSHUIQUARTO_CP01;"00:01:09;00";Voz;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP1;56109;VT-FENGSHUIBANHEIRO_CP01;"00:01:20;00";Voz;OK;OK;28/12/2022;Jesus;Gabriel;
CLIP2;VTs e Vídeos\VTs de Produtos;Como usar a Fritadeira Oster® Super Fryer;"00:02:12;00";Voz e BGM;OK;OK;28/12/2022;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Liquidificadores Oster®;"00:00:30;00";Voz e BGM;OK;OK;28/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Tudo para sua Casa\28.12.2022 Tudo para a sua Casa;Como atrair energia positiva para 2023_Bárara Donati;"00:00:45;00";Voz;OK;OK;29/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Tudo para sua Casa\28.12.2022 Tudo para a sua Casa;Como atrair energia positiva para 2023_Noélli Sántiago;"00:01:20;00";Voz;OK;OK;30/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Tudo para sua Casa\28.12.2022 Tudo para a sua Casa;Como atrair energia positiva para 2023_Shanna Marum;"00:01:35;00";Voz;OK;OK;31/12/2022;Jesus;André;
CLIP2;Vídeos de Programas\Tudo para sua Casa\28.12.2022 Tudo para a sua Casa;Como atrair energia positiva para 2023_Wal Sartori;"00:01:15;00";Voz;OK;OK;31/12/2022;Jesus;André;
CLIP1;56106;VH-TORREBALLSHOPGAME_CP01;"00:00:05;00";BGM;OK;OK;31/12/2022;Jesus;André;
CLIP1;56086;VH-CASAQUASAPORETTI_CP01;"00:00:10;00";Voz e BGM;OK;OK;03/01/2023;Jesus;André;
CLIP1;56135;VH-DENORTEASULBABICC_CP01;"00:00:07;00";BGM;OK;OK;02/01/2023;Jesus;André;
CLIP1;56143;VT-MEIASANTIDERZIMAN_CP01;"00:01:15;00";BGM;OK;OK;02/01/2023;Jesus;André;
CLIP1;56144;"VT-ITENSPELECABELOS_CP01	";"00:01:15;00";BGM;Reprovado;OK;02/01/2023;Jesus;André;Black com 53 segundos restantes.
CLIP1;56150;"VT-ITENSPELECABELOS_CP01	";"00:01:15;01";BGM;OK;OK;03/01/2023;Jesus;Gabriel;
CLIP1;56179;VT-ITENSPELECABELOS_CP01;"00:01:15;01";BGM;OK;OK;04/01/2023;Jesus;Leonardo;
CLIP2;Vídeos de Programas\Papo a Gosto\2023\06.01.2023 Papo a Gosto;BOEMIOS - CLARISSE LISPECTOR;"00:01:56;00";Voz e BGM;OK;OK;06/01/2023;Bruno;Leonardo;
CLIP2;Vídeos de Programas\Papo a Gosto\2023\06.01.2023 Papo a Gosto;PATRIMONIO - LA FIORENTINA;"00:02:19;00";Voz e BGM;OK;OK;06/01/2023;Bruno;Leonardo;
CLIP1;56212;EV-CASANOVASHOPMP_CP01;"00:00:10;00";Sem áudio;OK;N/A;09/01/2023;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Máquina de Empadão Fun Kitchen _ Shoptime;"00:01:57;00";Voz e BGM;OK;OK;10/01/2023;Jesus;Leonardo;
CLIP2;Vídeos de Programas\Casa & Conforto\12.01.2023 Casa & Conforto;Catarina da Silva - cliente Shoptime;"00:00:29;00";Voz;OK;OK;11/01/2023;Jesus;André;Entregue 10/01/2023 por Marcelo para rodar no dia 12/01/2023
CLIP2;Vídeos de Programas\Casa & Conforto\13.01.2023 Sexta-Feira 13;1 THALES CALAZANS SB HORROR À ESCADA;"00:00:32;00";Voz;Reprovado;OK;13/01/2023;Jesus;André;Vídeo com imagem invertida
CLIP2;Vídeos de Programas\Casa & Conforto\13.01.2023 Sexta-Feira 13;3 MARIA DE LOURDES SB PANO BRANCO NO ESPELHO;"00:00:19;00";Voz;OK;OK;13/01/2023;Jesus;André;
CLIP2;Vídeos de Programas\Casa & Conforto\13.01.2023 Sexta-Feira 13;ANA CLÁUDIA SB COMO SE SAIR BEM NA SEXTA 13_1;"00:00:35;00";Voz;OK;OK;13/01/2023;Jesus;André;
CLIP2;Vídeos de Programas\Casa & Conforto\13.01.2023 Sexta-Feira 13;ANA CLÁUDIA SB SUPERSTIÇÃO DESDE NOVA_1;"00:00:35;00";Voz;OK;OK;13/01/2023;Jesus;André;
CLIP2;Vídeos de Programas\Casa & Conforto\13.01.2023 Sexta-Feira 13;MARIA APARECIDA SB NÃO DEIXAR CHINELO VIRADO_1;"00:00:49;00";Voz;OK;OK;13/01/2023;Jesus;André;
CLIP2;Vídeos de Programas\Casa & Conforto\13.01.2023 Sexta-Feira 13;1 THALES CALAZANS SB HORROR À ESCADA_corrigido;"00:00:32;00";Voz;OK;OK;13/01/2023;Jesus;André;
